country,b_g_namespace,year,air_quality_network,air_quality_network_name,timezone,air_quality_station_eo_i_code,air_quality_station_nat_code,air_quality_station_name,sampling_point_id,air_pollutant,longitude,latitude,altitude,altitude_unit,air_quality_station_area,air_quality_station_type,operational_activity_begin,operational_activity_end,sample_id,inlet_height,inlet_height_unit,building_distance,building_distance_unit,kerb_distance,kerb_distance_unit,distance_source,distance_source_unit,main_emission_sources,heating_emissions,heating_emissions_unit,mobile,traffic_emissions,traffic_emissions_unit,industrial_emissions,industrial_emissions_unit,municipality,dispersion_local,dispersion_regional,distance_junction,distance_junction_unit,heavy_duty_fraction,height_facades,street_width,traffic_speed,traffic_volume,process_id,process_activity_begin,process_activity_end,measurement_type,measurement_method,other_measurement_method,measurement_equipment,other_measurement_equipment,sampling_method,other_sampling_method,analytical_technique,other_analytical_technique,equivalence_demonstrated,demonstration_report,detection_limit,detection_limit_unit,documentation,qa_report,duration,duration_unit,cadence,cadence_unit,source_data_url,imported,tfr
Netherlands,NL.RIVM.AQ,2022,NET-NL049A,Amsterdamse Meetnet Luchtkwaliteit,UTC+01,NL00703,NL49703,Amsterdam-Spaarnwoude,SPO-NL00703_00464_300,"m,p-C6H4(CH3)2",4.72858,52.39844,-1,m,rural,background,01/01/2012 00:00:00,01/01/2013 00:00:00,SPO_F-NL00703_00464_300_300,4,m,0,m,0,m,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Halfweg NH,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP-NL_A_GC-FID_GC955,01/01/2012 00:00:00,01/01/2013 00:00:00,automatic,GC-FID,NA,GC955,NA,NA,NA,NA,NA,ref,NA,0,ug.m-3,NA,http://www.rivm.nl/lucht/,1,hour,15,minute,http://cdr.eionet.europa.eu/nl/eu/aqd/d/envzujz7w/REP_D-NL_RIVM_20231031_D5_GELUK-001.xml,05/09/2024 04:09:25,1.49
Netherlands,NL.RIVM.AQ,2022,NET-NL049A,Amsterdamse Meetnet Luchtkwaliteit,UTC+01,NL00703,NL49703,Amsterdam-Spaarnwoude,SPO-NL00703_00482_100,o-C6H4-(CH3)2,4.72858,52.39844,-1,m,rural,background,01/01/2010 00:00:00,31/12/2014 00:00:00,SPO_F-NL00703_00482_100_100,4,m,0,m,0,m,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Halfweg NH,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP-NL_A_GC-FID_GC855BTX,01/01/2010 00:00:00,31/12/2014 00:00:00,automatic,GC-FID,NA,GC855BTX,NA,NA,NA,NA,NA,ref,NA,0,ug.m-3,NA,http://www.rivm.nl/lucht/,1,hour,15,minute,http://cdr.eionet.europa.eu/nl/eu/aqd/d/envzujz7w/REP_D-NL_RIVM_20231031_D5_GELUK-001.xml,05/09/2024 04:09:25,1.49
Netherlands,NL.RIVM.AQ,2022,NET-NL049A,Amsterdamse Meetnet Luchtkwaliteit,UTC+01,NL00703,NL49703,Amsterdam-Spaarnwoude,SPO-NL00703_06001_300,PM2.5,4.72858,52.39844,-1,m,rural,background,01/01/2011 00:00:00,01/01/2013 00:00:00,SPO_F-NL00703_06001_300_300,3,m,0,m,0,m,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Halfweg NH,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP-NL_A_BETA_BAM1020,01/01/2011 00:00:00,01/01/2013 00:00:00,automatic,BETA,NA,BAM1020,NA,NA,NA,NA,NA,ref,NA,0,ug.m-3,EN ISO/IEC 17025:2017 Registration number: L 224,https://www.rva.nl/alle-geaccrediteerden/,1,hour,10,second,http://cdr.eionet.europa.eu/nl/eu/aqd/d/envzujz7w/REP_D-NL_RIVM_20231031_D5_GELUK-001.xml,05/09/2024 04:09:25,1.49
Netherlands,NL.RIVM.AQ,2022,NET-NL049A,Amsterdamse Meetnet Luchtkwaliteit,UTC+01,NL00704,NL49704,Amsterdam-Hoogtij,SPO-NL00704_00020_300,C6H6,4.77348,52.42802,1,m,urban,industrial,01/01/2012 00:00:00,01/01/2014 00:00:00,SPO_F-NL00704_00020_300_300,4,m,0,m,0,m,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Amsterdam,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP-NL_A_GC-FID_GC955,01/01/2012 00:00:00,01/01/2014 00:00:00,automatic,GC-FID,NA,GC955,NA,NA,NA,NA,NA,ref,NA,0,ug.m-3,NA,http://www.rivm.nl/lucht/,1,hour,15,minute,http://cdr.eionet.europa.eu/nl/eu/aqd/d/envzujz7w/REP_D-NL_RIVM_20231031_D5_GELUK-001.xml,05/09/2024 04:09:25,1.49
Netherlands,NL.RIVM.AQ,2022,NET-NL049A,Amsterdamse Meetnet Luchtkwaliteit,UTC+01,NL00704,NL49704,Amsterdam-Hoogtij,SPO-NL00704_00021_300,C6H5-CH3,4.77348,52.42802,1,m,urban,industrial,01/01/2012 00:00:00,01/01/2014 00:00:00,SPO_F-NL00704_00021_300_300,4,m,0,m,0,m,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Amsterdam,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP-NL_A_GC-FID_GC955,01/01/2012 00:00:00,01/01/2014 00:00:00,automatic,GC-FID,NA,GC955,NA,NA,NA,NA,NA,ref,NA,0,ug.m-3,NA,http://www.rivm.nl/lucht/,1,hour,15,minute,http://cdr.eionet.europa.eu/nl/eu/aqd/d/envzujz7w/REP_D-NL_RIVM_20231031_D5_GELUK-001.xml,05/09/2024 04:09:25,1.49
Netherlands,NL.RIVM.AQ,2022,NET-NL049A,Amsterdamse Meetnet Luchtkwaliteit,UTC+01,NL00704,NL49704,Amsterdam-Hoogtij,SPO-NL00704_00431_100,C6H5-C2H5,4.77348,52.42802,1,m,urban,industrial,01/01/2009 00:00:00,NA,SPO_F-NL00704_00431_100_100,4,m,0,m,0,m,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Amsterdam,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP-NL_A_GC-FID_GC855BTX,01/01/2009 00:00:00,NA,automatic,GC-FID,NA,GC855BTX,NA,NA,NA,NA,NA,ref,NA,0,ug.m-3,NA,http://www.rivm.nl/lucht/,1,hour,15,minute,http://cdr.eionet.europa.eu/nl/eu/aqd/d/envzujz7w/REP_D-NL_RIVM_20231031_D5_GELUK-001.xml,05/09/2024 04:09:25,1.49
Netherlands,NL.RIVM.AQ,2022,NET-NL049A,Amsterdamse Meetnet Luchtkwaliteit,UTC+01,NL00704,NL49704,Amsterdam-Hoogtij,SPO-NL00704_00464_300,"m,p-C6H4(CH3)2",4.77348,52.42802,1,m,urban,industrial,01/01/2012 00:00:00,01/01/2013 00:00:00,SPO_F-NL00704_00464_300_300,4,m,0,m,0,m,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Amsterdam,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP-NL_A_GC-FID_GC955,01/01/2012 00:00:00,01/01/2013 00:00:00,automatic,GC-FID,NA,GC955,NA,NA,NA,NA,NA,ref,NA,0,ug.m-3,NA,http://www.rivm.nl/lucht/,1,hour,15,minute,http://cdr.eionet.europa.eu/nl/eu/aqd/d/envzujz7w/REP_D-NL_RIVM_20231031_D5_GELUK-001.xml,05/09/2024 04:09:25,1.49
Netherlands,NL.RIVM.AQ,2022,NET-NL049A,Amsterdamse Meetnet Luchtkwaliteit,UTC+01,NL00704,NL49704,Amsterdam-Hoogtij,SPO-NL00704_00482_100,o-C6H4-(CH3)2,4.77348,52.42802,1,m,urban,industrial,01/01/2009 00:00:00,31/12/2014 00:00:00,SPO_F-NL00704_00482_100_100,4,m,0,m,0,m,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Amsterdam,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP-NL_A_GC-FID_GC855BTX,01/01/2009 00:00:00,31/12/2014 00:00:00,automatic,GC-FID,NA,GC855BTX,NA,NA,NA,NA,NA,ref,NA,0,ug.m-3,NA,http://www.rivm.nl/lucht/,1,hour,15,minute,http://cdr.eionet.europa.eu/nl/eu/aqd/d/envzujz7w/REP_D-NL_RIVM_20231031_D5_GELUK-001.xml,05/09/2024 04:09:25,1.49
Netherlands,NL.RIVM.AQ,2022,NET-NL049A,Amsterdamse Meetnet Luchtkwaliteit,UTC+01,NL00704,NL49704,Amsterdam-Hoogtij,SPO-NL00704_06001_300,PM2.5,4.77348,52.42802,1,m,urban,industrial,01/01/2012 00:00:00,01/01/2013 00:00:00,SPO_F-NL00704_06001_300_300,3,m,0,m,0,m,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Amsterdam,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP-NL_A_BETA_BAM1020,01/01/2012 00:00:00,01/01/2013 00:00:00,automatic,BETA,NA,BAM1020,NA,NA,NA,NA,NA,ref,NA,0,ug.m-3,EN ISO/IEC 17025:2017 Registration number: L 224,https://www.rva.nl/alle-geaccrediteerden/,1,hour,10,second,http://cdr.eionet.europa.eu/nl/eu/aqd/d/envzujz7w/REP_D-NL_RIVM_20231031_D5_GELUK-001.xml,05/09/2024 04:09:25,1.49
Netherlands,NL.RIVM.AQ,2022,NET-NL052A,Meetnet provincie Noord Holland,UTC+01,NL00546,NL49546,Zaanstad-Hemkade,SPO-NL00546_00020_300,C6H6,4.83206,52.42023,4,m,urban,industrial,01/01/2011 00:00:00,01/01/2015 00:00:00,SPO_F-NL00546_00020_300_300,3,m,0,m,0,m,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Zaandam,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP-NL_A_GC-FID_GC955,01/01/2011 00:00:00,01/01/2015 00:00:00,automatic,GC-FID,NA,GC955,NA,NA,NA,NA,NA,ref,NA,0,ug.m-3,NA,http://www.rivm.nl/lucht/,1,hour,15,minute,http://cdr.eionet.europa.eu/nl/eu/aqd/d/envzujz7w/REP_D-NL_RIVM_20231031_D5_GELUK-001.xml,05/09/2024 04:09:25,1.49
Netherlands,NL.RIVM.AQ,2022,NET-NL052A,Meetnet provincie Noord Holland,UTC+01,NL00546,NL49546,Zaanstad-Hemkade,SPO-NL00546_00021_300,C6H5-CH3,4.83206,52.42023,4,m,urban,industrial,01/01/2011 00:00:00,01/01/2015 00:00:00,SPO_F-NL00546_00021_300_300,3,m,0,m,0,m,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Zaandam,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP-NL_A_GC-FID_GC955,01/01/2011 00:00:00,01/01/2015 00:00:00,automatic,GC-FID,NA,GC955,NA,NA,NA,NA,NA,ref,NA,0,ug.m-3,NA,http://www.rivm.nl/lucht/,1,hour,15,minute,http://cdr.eionet.europa.eu/nl/eu/aqd/d/envzujz7w/REP_D-NL_RIVM_20231031_D5_GELUK-001.xml,05/09/2024 04:09:25,1.49
Netherlands,NL.RIVM.AQ,2022,NET-NL052A,Meetnet provincie Noord Holland,UTC+01,NL00546,NL49546,Zaanstad-Hemkade,SPO-NL00546_00431_100,C6H5-C2H5,4.83206,52.42023,4,m,urban,industrial,01/01/2010 00:00:00,01/01/2012 00:00:00,SPO_F-NL00546_00431_100_100,8,m,0,m,0,m,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Zaandam,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP-NL_A_GC-FID_GC955,01/01/2010 00:00:00,01/01/2012 00:00:00,automatic,GC-FID,NA,GC955,NA,NA,NA,NA,NA,ref,NA,0,ug.m-3,NA,http://www.rivm.nl/lucht/,1,hour,15,minute,http://cdr.eionet.europa.eu/nl/eu/aqd/d/envzujz7w/REP_D-NL_RIVM_20231031_D5_GELUK-001.xml,05/09/2024 04:09:25,1.49
Netherlands,NL.RIVM.AQ,2022,NET-NL052A,Meetnet provincie Noord Holland,UTC+01,NL00546,NL49546,Zaanstad-Hemkade,SPO-NL00546_00464_300,"m,p-C6H4(CH3)2",4.83206,52.42023,4,m,urban,industrial,01/01/2011 00:00:00,01/01/2013 00:00:00,SPO_F-NL00546_00464_300_300,3,m,0,m,0,m,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Zaandam,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP-NL_A_GC-FID_GC955,01/01/2011 00:00:00,01/01/2013 00:00:00,automatic,GC-FID,NA,GC955,NA,NA,NA,NA,NA,ref,NA,0,ug.m-3,NA,http://www.rivm.nl/lucht/,1,hour,15,minute,http://cdr.eionet.europa.eu/nl/eu/aqd/d/envzujz7w/REP_D-NL_RIVM_20231031_D5_GELUK-001.xml,05/09/2024 04:09:25,1.49
Netherlands,NL.RIVM.AQ,2022,NET-NL052A,Meetnet provincie Noord Holland,UTC+01,NL00546,NL49546,Zaanstad-Hemkade,SPO-NL00546_00482_100,o-C6H4-(CH3)2,4.83206,52.42023,4,m,urban,industrial,01/01/2010 00:00:00,01/01/2012 00:00:00,SPO_F-NL00546_00482_100_100,8,m,0,m,0,m,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Zaandam,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP-NL_A_GC-FID_GC955,01/01/2010 00:00:00,01/01/2012 00:00:00,automatic,GC-FID,NA,GC955,NA,NA,NA,NA,NA,ref,NA,0,ug.m-3,NA,http://www.rivm.nl/lucht/,1,hour,15,minute,http://cdr.eionet.europa.eu/nl/eu/aqd/d/envzujz7w/REP_D-NL_RIVM_20231031_D5_GELUK-001.xml,05/09/2024 04:09:25,1.49
Netherlands,NL.RIVM.AQ,2022,NET-NL052A,Meetnet provincie Noord Holland,UTC+01,NL00551,NL49551,IJmuiden-Kanaaldijk,SPO-NL00551_06001_300,PM2.5,4.60184,52.46304,10,m,urban,industrial,01/01/2012 00:00:00,01/01/2013 00:00:00,SPO_F-NL00551_06001_300_300,3,m,0,m,0,m,NA,NA,Manufacturing Industries and Construction,NA,NA,0,NA,NA,NA,NA,IJmuiden,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP-NL_A_BETA_BAM1020,01/01/2012 00:00:00,01/01/2013 00:00:00,automatic,BETA,NA,BAM1020,NA,NA,NA,NA,NA,ref,NA,0,ug.m-3,EN ISO/IEC 17025:2017 Registration number: L 224,https://www.rva.nl/alle-geaccrediteerden/,1,hour,10,second,http://cdr.eionet.europa.eu/nl/eu/aqd/d/envzujz7w/REP_D-NL_RIVM_20231031_D5_GELUK-001.xml,05/09/2024 04:09:25,1.49
Netherlands,NL.RIVM.AQ,2022,NET-NL052A,Meetnet provincie Noord Holland,UTC+01,NL00553,NL49553,Wijk aan Zee-Burgemeester Rothestraat,SPO-NL00553_06001_300,PM2.5,4.60199,52.49399,11,m,urban,industrial,01/01/2012 00:00:00,01/01/2013 00:00:00,SPO_F-NL00553_06001_300_300,3,m,0,m,0,m,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Wijk aan Zee,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP-NL_A_BETA_BAM1020,01/01/2012 00:00:00,01/01/2013 00:00:00,automatic,BETA,NA,BAM1020,NA,NA,NA,NA,NA,ref,NA,0,ug.m-3,EN ISO/IEC 17025:2017 Registration number: L 224,https://www.rva.nl/alle-geaccrediteerden/,1,hour,10,second,http://cdr.eionet.europa.eu/nl/eu/aqd/d/envzujz7w/REP_D-NL_RIVM_20231031_D5_GELUK-001.xml,05/09/2024 04:09:25,1.49
Netherlands,NL.RIVM.AQ,2019,NET-NL052A,Meetnet provincie Noord Holland,UTC+01,NL00556,NL49556,De Rijp-Oostdijkje,SPO-NL00556_06001_100,PM2.5,4.8617,52.56359,3,m,rural,background,30/12/2016 00:00:00,31/12/2016 00:00:00,SPO_F-NL00556_06001_100_100,3,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,De Rijp,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP-NL_A_BETA_BAM1020,30/12/2016 00:00:00,31/12/2016 00:00:00,automatic,BETA,NA,BAM1020,NA,NA,NA,NA,NA,ref,NA,0,ug.m-3,EN ISO/IEC 17025:2017 Registration number: L 224,https://www.rva.nl/alle-geaccrediteerden/,1,hour,10,second,http://cdr.eionet.europa.eu/nl/eu/aqd/d/envx091uq/REP_D-NL_RIVM_20200909_D5_GELUK-RS_v3.xml,10/09/2020 14:00:38,1.57
Netherlands,NL.RIVM.AQ,2022,NET-NL052A,Meetnet provincie Noord Holland,UTC+01,NL00561,NL49561,Badhoevedorp-Sloterweg,SPO-NL00561_06001_300,PM2.5,4.77401,52.334,-2,m,urban,background,01/01/2012 00:00:00,01/01/2013 00:00:00,SPO_F-NL00561_06001_300_300,3,m,0,m,0,m,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Badhoevedorp,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPP-NL_A_BETA_BAM1020,01/01/2012 00:00:00,01/01/2013 00:00:00,automatic,BETA,NA,BAM1020,NA,NA,NA,NA,NA,ref,NA,0,ug.m-3,EN ISO/IEC 17025:2017 Registration number: L 224,https://www.rva.nl/alle-geaccrediteerden/,1,hour,10,second,http://cdr.eionet.europa.eu/nl/eu/aqd/d/envzujz7w/REP_D-NL_RIVM_20231031_D5_GELUK-001.xml,05/09/2024 04:09:25,1.49
