country,year,air_pollutant,n_obs
United Kingdom,2020,"Benzo(b)naphtho(2,1-d)thiophene",6
United Kingdom,2020,"Benzo(b)naphtho(2,1-d)thiophene in PM10",76
United Kingdom,2020,Benzo(b+j)fluoranthene,6
United Kingdom,2020,Benzo(c)phenanthrene,6
United Kingdom,2020,Benzo(c)phenanthrene in PM10,76
United Kingdom,2020,Benzo(e)pyrene,10
United Kingdom,2020,Benzo(e)pyrene in PM10,74
United Kingdom,2020,Benzo(ghi)perylene,10
United Kingdom,2020,Benzo(ghi)perylene in PM10,74
United Kingdom,2020,Benzo(j)fluoranthene,4
United Kingdom,2020,Benzo(j)fluoranthene in PM10,78
United Kingdom,2020,Benzo(k)fluoranthene,6
United Kingdom,2020,Benzo(k)fluoranthene in PM10,78
United Kingdom,2020,Biphenyl,10
United Kingdom,2020,Black Carbon,70
United Kingdom,2020,C2H6,10
United Kingdom,2020,C6H14,10
United Kingdom,2020,C6H5-C2H5,10
United Kingdom,2020,C6H5-CH3,10
United Kingdom,2020,C6H6,94
United Kingdom,2020,C7H16,10
United Kingdom,2020,C8H18,10
United Kingdom,2020,CH2=CH-C(CH3)=CH2,10
United Kingdom,2020,CH2=CH-CH3,10
United Kingdom,2020,CH2=CH-CH=CH2,10
United Kingdom,2020,CO,28
United Kingdom,2020,Ca2+ in PM2.5,6
United Kingdom,2020,Cd,30
United Kingdom,2020,Cd in PM10,82
United Kingdom,2020,Cholanthrene,6
United Kingdom,2020,Cholanthrene in PM10,66
United Kingdom,2020,Chrysene,10
United Kingdom,2020,Chrysene in PM10,74
United Kingdom,2020,Cl- in PM2.5,6
United Kingdom,2020,Coronene,10
United Kingdom,2020,Coronene in PM10,72
United Kingdom,2020,"Cyclopenta(c,d)pyrene",6
United Kingdom,2020,"Cyclopenta(c,d)pyrene in PM10",74
United Kingdom,2020,Cyklopenta(cd)pyrene,4
United Kingdom,2020,Dibenzo(ac)anthracene,4
United Kingdom,2020,Dibenzo(ac)anthracene in PM10,76
United Kingdom,2020,Dibenzo(ae)pyrene,10
United Kingdom,2020,Dibenzo(ae)pyrene in PM10,74
United Kingdom,2020,Dibenzo(ah)anthracene,4
United Kingdom,2020,Dibenzo(ah)anthracene in PM10,78
United Kingdom,2020,Dibenzo(ah)pyrene,10
United Kingdom,2020,Dibenzo(ah)pyrene in PM10,74
United Kingdom,2020,Dibenzo(ah+ac)anthracene,6
United Kingdom,2020,Dibenzo(ai)pyrene,10
United Kingdom,2020,Dibenzo(ai)pyrene in PM10,74
United Kingdom,2020,Dibenzo(al)pyrene,6
United Kingdom,2020,Dibenzo(al)pyrene in PM10,78
United Kingdom,2020,EC in PM2.5,12
United Kingdom,2020,Fluoranthene,10
United Kingdom,2020,Fluorene,10
United Kingdom,2020,H2C=CH-CH2-CH2-CH3,10
United Kingdom,2020,H2C=CH-CH2-CH3,10
United Kingdom,2020,H2C=CH2,10
United Kingdom,2020,H3C-(CH2)3-CH3,10
United Kingdom,2020,H3C-CH(CH3)2,10
United Kingdom,2020,H3C-CH2-CH(CH3)2,10
United Kingdom,2020,H3C-CH2-CH2-CH3,10
United Kingdom,2020,H3C-CH2-CH3,10
United Kingdom,2020,HC=CH,10
United Kingdom,2020,Hg,24
United Kingdom,2020,Hg in PM10,58
United Kingdom,2020,Hg in PM2.5,4
United Kingdom,2020,Hg-reactive,4
United Kingdom,2020,Hg0,6
United Kingdom,2020,Hg0 + Hg-reactive,58
United Kingdom,2020,"Indeno-(1,2,3-cd)pyrene",6
United Kingdom,2020,"Indeno-(1,2,3-cd)pyrene in PM",78
United Kingdom,2020,K+ in PM2.5,6
United Kingdom,2020,Mg2+ in PM2.5,6
United Kingdom,2020,NH4+ in PM2.5,6
United Kingdom,2020,NO,394
United Kingdom,2020,NO2,668
United Kingdom,2020,NO3- in PM2.5,6
United Kingdom,2020,NOX as NO2,668
United Kingdom,2020,Na+  in PM2.5,6
United Kingdom,2020,Naphthalene,6
United Kingdom,2020,Ni,30
United Kingdom,2020,Ni in PM10,82
United Kingdom,2020,O3,334
United Kingdom,2020,OC in PM2.5,12
United Kingdom,2020,PM10,560
United Kingdom,2020,PM2.5,562
United Kingdom,2020,Pb,30
United Kingdom,2020,Pb in PM10,82
United Kingdom,2020,Perylene,10
United Kingdom,2020,Perylene in PM10,72
United Kingdom,2020,Phenanthrene,10
United Kingdom,2020,Pyrene,10
United Kingdom,2020,Retene,4
United Kingdom,2020,SO2,156
United Kingdom,2020,SO42- in PM2.5,6
United Kingdom,2020,cis-H3C-CH=CH-CH3,10
United Kingdom,2020,"m,p-C6H4(CH3)2",10
United Kingdom,2020,o-C6H4-(CH3)2,10
United Kingdom,2020,trans-H3C-CH=CH-CH3,10
United Kingdom,2020,trans-H3C-HC=CH-CH2-CH3,10
