DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,BG,2019,1.79,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,BG,2020,1.77,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,BG,2021,1.80,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,BG,2022,1.78,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,BG,2023,1.81,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,BY,2012,1.62,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,BY,2013,1.67,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,BY,2014,1.70,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,BY,2015,1.72,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,BY,2016,1.73,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,BY,2017,1.54,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,BY,2018,1.45,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CH,2012,1.52,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CH,2013,1.52,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CH,2014,1.54,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CH,2015,1.54,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CH,2016,1.54,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CH,2017,1.52,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CH,2018,1.52,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CH,2019,1.48,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CH,2020,1.46,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CH,2021,1.52,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CH,2022,1.39,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CH,2023,1.33,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CY,2012,1.39,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CY,2013,1.31,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CY,2014,1.31,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CY,2015,1.31,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CY,2016,1.36,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CY,2017,1.34,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CY,2018,1.36,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CY,2019,1.40,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CY,2020,1.36,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CY,2021,1.39,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CY,2022,1.37,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CY,2023,1.40,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CZ,2012,1.45,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CZ,2013,1.46,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CZ,2014,1.53,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,CZ,2015,1.57,,
